rank,title,price_eur,de_fair_price,de_discount_eur,it_predicted_price,gross_margin_eur,net_margin_eur,it_premium_pct,sale_prob_14d,arbitrage_score,model_number_v2,variant,mileage_km,vehicle_age_months,city,seller_name,listing_url
1,Audi Q4 e-tron 50 quattro 82kWh Kamera/ACC/LED/Navi,25999,25645.33586594538,-353.66413405461935,33850.094,7851.09375,5351.09375,30.19767587214892,0.8244872,4412.0,50,Q4 e-tron,121612,43.0,Ergolding,auto mega store gmbh,https://www.autoscout24.com/offers/audi-q4-e-tron-50-quattro-82kwh-kamera-acc-led-navi-electric-white-b3febb11-c737-4755-a0bb-fe3b9e417c0a
2,Audi Q4 e-tron 35 *LED *Standheizung *PDC *DAB *Navi,24790,27218.38284498699,2428.3828449869907,32766.297,7976.296875,5476.296875,32.17546137555465,0.7596819,4160.0,,Q4 e-tron,47000,38.0,Finnentrop,Auerswald Automobile,https://www.autoscout24.com/offers/audi-q4-e-tron-35-led-standheizung-pdc-dab-navi-electric-black-a0e26ef2-4919-4417-8262-1ac7503eb3e5
3,"Audi Q4 e-tron SUV (mit Eroberung BEV) SITZHG,NAVI",37990,39011.6747106388,1021.6747106387993,46241.36,8251.359375,5751.359375,21.719819360357985,0.7071666,4067.0,,Q4 e-tron,0,,Mühldorf am Inn,Autohaus Ostermaier GmbH,https://www.autoscout24.com/offers/audi-q4-e-tron-suv-mit-eroberung-bev-sitzhg-navi-electric-grey-c7b5b3d1-e639-4786-ae77-e3634b48c2ba
4,"Audi Q4 e-tron Q4 SUV (mit Eroberung BEV) SITZHG,NAVI",37990,39011.6747106388,1021.6747106387993,46241.36,8251.359375,5751.359375,21.719819360357985,0.7071666,4067.0,,Q4 e-tron,0,,Mühldorf am Inn,Autohaus Ostermaier GmbH,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-suv-mit-eroberung-bev-sitzhg-navi-electric-grey-d978c86f-bc48-4150-96f0-fcbe666f9ee8
5,Audi Q4 e-tron Q4 SUV e-tron,36490,37686.99328569032,1196.9932856903179,47100.688,10610.6875,8110.6875,29.078343381748418,0.500856,4062.0,,Q4 e-tron,0,,Düsseldorf,Autohaus Adelbert Moll GmbH & Co. KG,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-suv-e-tron-electric-grey-8722038f-6aca-442b-9767-6eff5a58d1f0
6,Audi Q4 e-tron Q4 SUV e-tron,36490,37686.99328569032,1196.9932856903179,47100.688,10610.6875,8110.6875,29.078343381748418,0.500856,4062.0,,Q4 e-tron,0,,Düsseldorf,Autohaus Adelbert Moll GmbH & Co. KG,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-suv-e-tron-electric-grey-c7763a36-eb14-4bc5-8b30-a279eeb9512d
7,Audi Q4 e-tron Q4 SUV e-tron NEUBESTELLUNG MJ 2027,38590,40570.107709114964,1980.1077091149637,46651.535,8061.53515625,5561.53515625,20.890218077869903,0.704769,3920.0,,Q4 e-tron,0,,Kassel,Audi Zentrum Kassel GmbH & Co.KG,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-suv-e-tron-neubestellung-mj-2027-electric-grey-84c9f21e-e3ea-46e5-bea6-edbe1c9b1ea0
8,Audi Q4 e-tron Sportback advanced 35 e-tron LED KLIMAPAKET,25980,26219.54963584936,239.5496358493583,34179.453,8199.453125,5699.453125,31.560635585065434,0.6780886,3865.0,35,Q4 e-tron Sportback,23590,37.0,Schwabach,Feser GmbH,https://www.autoscout24.com/offers/audi-q4-e-tron-sportback-advanced-35-e-tron-led-klimapaket-electric-grey-c28b0431-311f-4be6-80ef-6010d21ba331
9,Audi Q4 e-tron 55 quattro Leder/RFK/20''/Assi-Plus,41980,43452.68390819237,1472.683908192368,49611.277,7631.27734375,5131.27734375,18.178364325273932,0.6637584,3406.0,55,Q4 e-tron,11036,26.0,Neumarkt,Fischer Automobile GmbH,https://www.autoscout24.com/offers/audi-q4-e-tron-55-quattro-leder-rfk-20-assi-plus-electric-silver-ca6a1918-85b6-43c1-a27a-efe6ea3de37f
10,"Audi Q4 e-tron e-tron Sportback 40 e-tron 20""",28999,29127.882802540997,128.88280254099664,35385.3,6386.30078125,3886.30078125,22.02248622797338,0.84705687,3292.0,40,Q4 e-tron Sportback,47260,32.0,Bornheim,Kfz Handel Rene Serwuschok,https://www.autoscout24.com/offers/audi-q4-e-tron-e-tron-sportback-40-e-tron-20-electric-black-581d62d5-e434-4b6c-bb39-82ebc6acfd75
