mileage_km,vehicle_age_months,power_kw,power_hp,electric_range_km,wltp_consumption_kwh_100km,seller_rating_stars,seller_rating_count,image_count,previous_owner_count,door_count,seat_count,warranty_months,battery_charging_time_min,price_per_kw,price_per_hp,price_per_range_km,mileage_per_month,variant,model_number_v2,seller_type,body_type,exterior_color,paint_type,interior_color,upholstery_material,city,is_conditional_price_clean,available_now_clean,warranty_exists_clean,has_full_service_history_clean,had_accident_clean,is_sportback,is_quattro,is_s_line,has_matrix,has_pano,has_ahk,has_hud,has_acc,has_camera,duplicate_listing_id,seller_has_rating,has_warranty_months,has_battery_info,has_city_range,has_charging_time,price_eur,sold_within_14d,listing_id
9900,9.0,210.0,286.0,498,16.1,4.5,38.0,9,1.0,5.0,5.0,36,1,223.71428571428572,164.26573426573427,94.33734939759036,1100.0,Q4 e-tron,45,Dealer,SUV/Off-Road/Pick-Up,Black,Metallic,Black,Cloth,Trier,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,1,46980,1.0,39f056dc-fe26-4544-8333-4edabfca1f5b
9273,11.0,210.0,286.0,510,17.3,4.5,63.0,15,1.0,5.0,5.0,,,259.42857142857144,190.48951048951048,106.82352941176471,843.0,Q4 e-tron Sportback,,Dealer,SUV/Off-Road/Pick-Up,White,Metallic,Black,Alcantara,Ursensollen,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,1,0,0,0,0,54480,1.0,3370c59b-b5f5-4143-86e8-d26e1d9f8eb3
80200,54.0,220.0,299.0,465,18.9,,,15,1.0,5.0,5.0,,,144.5909090909091,106.38795986622074,68.40860215053763,1485.1851851851852,Q4 e-tron Sportback,50,Dealer,SUV/Off-Road/Pick-Up,Blue,Metallic,Black,Full leather,Singen,False,True,True,True,,True,False,True,True,False,False,False,False,True,False,0,0,0,0,0,31810,1.0,19df05fc-321b-4d18-930c-cefd231c00c8
5548,8.0,210.0,286.0,534,16.6,5.0,12.0,12,1.0,5.0,5.0,,,213.76190476190476,156.95804195804195,84.06367041198502,693.5,Q4 e-tron,45,Dealer,SUV/Off-Road/Pick-Up,Blue,Metallic,Black,Cloth,Dresden,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,1,0,0,0,0,44890,1.0,b565d292-f98b-40b9-ba77-771247ecfcc6
9258,10.0,210.0,286.0,412,,5.0,12.0,13,1.0,5.0,5.0,,,213.76190476190476,156.95804195804195,108.95631067961165,925.8,Q4 e-tron,45,Dealer,SUV/Off-Road/Pick-Up,White,Metallic,Black,Cloth,Dresden,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,1,0,0,0,0,44890,1.0,21c7def8-abe8-47ca-b194-86d66f3627ce
30583,42.0,150.0,204.0,519,16.9,4.0,13.0,0,2.0,5.0,5.0,12,,206.6,151.91176470588235,59.71098265895954,728.1666666666666,Q4 e-tron,40,Dealer,SUV/Off-Road/Pick-Up,Black,Metallic,Grey,Cloth,Osterode,False,True,True,True,,False,False,False,True,False,False,False,True,True,True,1,1,0,0,0,30990,1.0,5cad7a38-70ce-4532-b2cf-24c7f17b1c2c
22795,26.0,150.0,204.0,508,17.3,4.5,369.0,7,1.0,4.0,5.0,12,38,232.92666666666668,171.26960784313727,68.7775590551181,876.7307692307693,Q4 e-tron Sportback,40,Dealer,SUV/Off-Road/Pick-Up,White,Metallic,Grey,Part leather,Horn-Bad Meinberg,False,True,True,True,,True,False,True,False,True,True,False,False,False,False,1,1,0,0,1,34939,1.0,34a6459f-7055-421c-bda5-f5b66f577925
89881,41.0,150.0,204.0,466,,5.0,284.0,22,1.0,5.0,5.0,,,166.33333333333334,122.30392156862744,53.54077253218884,2192.2195121951218,Q4 e-tron Sportback,40,Dealer,SUV/Off-Road/Pick-Up,Blue,Metallic,Black,Full leather,Mülheim an der Ruhr,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,1,0,0,0,0,24950,1.0,c10d0ce2-9996-4378-bff8-db37706387f0
29437,46.0,125.0,170.0,343,18.9,5.0,686.0,15,1.0,5.0,5.0,,,194.64,143.11764705882354,70.932944606414,639.9347826086956,Q4 e-tron,35,Dealer,SUV/Off-Road/Pick-Up,Grey,Others,Black,Cloth,Hagen,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,1,0,0,0,0,24330,1.0,74679e61-7041-4fd5-834f-bc25a6c4e2f6
26695,39.0,125.0,170.0,343,,4.5,41.0,16,1.0,5.0,5.0,12,,215.92,158.76470588235293,78.68804664723032,684.4871794871794,Q4 e-tron,35,Dealer,SUV/Off-Road/Pick-Up,White,Metallic,Black,Cloth,Magdeburg,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,0,26990,1.0,245a8dc5-b970-4957-a441-36e32a290ae7
