,dtype,missing_count,missing_pct,unique_count,unique_pct
vat_deductible,float64,2517,100.0,0,0.0
delivery_possible,boolean,2503,99.44378228049266,1,0.03972983710766786
delivery_possible_clean,boolean,2503,99.44378228049266,1,0.03972983710766786
has_360_image,boolean,2488,98.84783472387764,1,0.03972983710766786
has_360_image_clean,boolean,2488,98.84783472387764,1,0.03972983710766786
secondary_scrape_error,object,2480,98.52999602701628,37,1.4700039729837107
raw_card_text,object,2460,97.73539928486294,55,2.185141040921732
electric_range_city,object,2398,95.27214938418751,73,2.900278108859754
electric_range_city_km,float64,2398,95.27214938418751,73,2.900278108859754
damage_conditions,object,2384,94.71593166468017,1,0.03972983710766786
battery_charging_time,object,2377,94.4378228049265,13,0.5164878823996821
battery_ownership,object,2339,92.92808899483512,1,0.03972983710766786
warranty_text,object,1913,76.00317838696861,28,1.1124354390147002
warranty_months,float64,1913,76.00317838696861,28,1.1124354390147002
wltp_consumption_kwh_100km,float64,1505,59.79340484704013,53,2.1056813667063965
wltp_co2_g_km,float64,1404,55.780691299165674,2,0.07945967421533572
suspicious_co2,boolean,1404,55.780691299165674,2,0.07945967421533572
wltp_consumption,object,1399,55.58204211362734,54,2.1454112038140645
wltp_co2_emissions,object,1399,55.58204211362734,4,0.15891934843067143
days_until_sold_or_removed,float64,1365,54.23122765196663,21,0.834326579261025
sold_timestamp,float64,1365,54.23122765196663,19,0.7548669050456893
sold_in_file,object,1365,54.23122765196663,19,0.7548669050456893
sold_timestamp_dt,datetime64[ns],1365,54.23122765196663,19,0.7548669050456893
model_number,string,370,14.700039729837108,4,0.15891934843067143
paint_type,object,354,14.064362336114423,2,0.07945967421533572
had_accident,boolean,326,12.951926897099723,1,0.03972983710766786
had_accident_clean,boolean,326,12.951926897099723,1,0.03972983710766786
seller_rating_count,float64,187,7.429479539133889,183,7.270560190703218
seller_rating_stars,float64,187,7.429479539133889,5,0.1986491855383393
seat_count,float64,175,6.952721493841875,2,0.07945967421533572
previous_owner_count,float64,138,5.482717520858165,4,0.15891934843067143
price_superscript,float64,99,3.9332538736591176,1,0.03972983710766786
interior_color,object,87,3.4564958283671037,7,0.27810885975367505
upholstery_material,object,83,3.297576479936432,6,0.23837902264600713
available_now,boolean,83,3.297576479936432,1,0.03972983710766786
available_now_clean,boolean,83,3.297576479936432,1,0.03972983710766786
electric_range,object,76,3.0194676201827573,206,8.184346444179578
electric_range_km,float64,76,3.0194676201827573,206,8.184346444179578
first_registration_dt,datetime64[ns],70,2.7810885975367503,59,2.3440603893524035
vehicle_age_months,float64,70,2.7810885975367503,59,2.3440603893524035
door_count,float64,67,2.6618990862137464,2,0.07945967421533572
exterior_color,object,49,1.9467620182757253,7,0.27810885975367505
seller_imprint_url,object,43,1.7083829956297178,425,16.88518077075884
street,object,43,1.7083829956297178,423,16.805721096543504
seller_name,object,43,1.7083829956297178,348,13.825983313468415
has_full_service_history,boolean,38,1.5097338100913786,2,0.07945967421533572
has_full_service_history_clean,boolean,38,1.5097338100913786,2,0.07945967421533572
body_type,object,37,1.4700039729837107,5,0.1986491855383393
warranty_exists,boolean,37,1.4700039729837107,2,0.07945967421533572
warranty_exists_clean,boolean,37,1.4700039729837107,2,0.07945967421533572
primary_image_url,object,25,0.9932459276916964,2455,97.53675009932459
seller_phone,object,21,0.834326579261025,427,16.964640444974176
variant,object,13,0.5164878823996821,2,0.07945967421533572
model_group,object,13,0.5164878823996821,1,0.03972983710766786
mileage_km,float64,3,0.11918951132300357,1820,72.3083035359555
power_kw,float64,3,0.11918951132300357,11,0.43702820818434646
power_hp,float64,3,0.11918951132300357,11,0.43702820818434646
suspicious_mileage,boolean,3,0.11918951132300357,1,0.03972983710766786
listing_url,object,0,0.0,2517,100.0
listing_id,string,0,0.0,2389,94.91458085021851
subtitle,object,0,0.0,1973,78.38696861342869
title,object,0,0.0,1972,78.34723877632102
mileage,object,0,0.0,1821,72.34803337306317
price,object,0,0.0,1278,50.77473182359953
price_eur,int64,0,0.0,1278,50.77473182359953
dealer_id,string,0,0.0,462,18.35518474374255
seller_info_url,object,0,0.0,462,18.35518474374255
seller_location,object,0,0.0,440,17.481128327373856
zip_code,string,0,0.0,435,17.28247914183552
city,object,0,0.0,391,15.534366309098132
first_registration,object,0,0.0,60,2.3837902264600714
image_count,int64,0,0.0,39,1.5494636471990464
observed_days,int64,0,0.0,22,0.8740564163686929
first_seen_timestamp,int64,0,0.0,20,0.7945967421533572
first_seen_file,object,0,0.0,20,0.7945967421533572
last_seen_timestamp,int64,0,0.0,20,0.7945967421533572
last_seen_file,object,0,0.0,20,0.7945967421533572
first_seen_timestamp_dt,datetime64[ns],0,0.0,20,0.7945967421533572
last_seen_timestamp_dt,datetime64[ns],0,0.0,20,0.7945967421533572
transmission,object,0,0.0,3,0.11918951132300357
is_conditional_price,bool,0,0.0,2,0.07945967421533572
fuel_or_powertrain,object,0,0.0,2,0.07945967421533572
seller_type,object,0,0.0,2,0.07945967421533572
secondary_scrape_status,object,0,0.0,2,0.07945967421533572
status,object,0,0.0,2,0.07945967421533572
sold_flag,bool,0,0.0,2,0.07945967421533572
is_censored,bool,0,0.0,2,0.07945967421533572
is_conditional_price_clean,bool,0,0.0,2,0.07945967421533572
is_sportback,bool,0,0.0,2,0.07945967421533572
is_quattro,bool,0,0.0,2,0.07945967421533572
is_s_line,bool,0,0.0,2,0.07945967421533572
has_matrix,bool,0,0.0,2,0.07945967421533572
has_pano,bool,0,0.0,2,0.07945967421533572
has_ahk,bool,0,0.0,2,0.07945967421533572
has_hud,bool,0,0.0,2,0.07945967421533572
has_acc,bool,0,0.0,2,0.07945967421533572
has_camera,bool,0,0.0,2,0.07945967421533572
duplicate_listing_id,bool,0,0.0,2,0.07945967421533572
scrape_error_flag,bool,0,0.0,2,0.07945967421533572
suspicious_wltp,bool,0,0.0,2,0.07945967421533572
currency,object,0,0.0,1,0.03972983710766786
country_code,object,0,0.0,1,0.03972983710766786
battery_charging_time_min,object,0,0.0,1,0.03972983710766786
suspicious_price,bool,0,0.0,1,0.03972983710766786
