,feature,cramers_v,target_spread,unique_count,non_null_rows,missing_pct
20,duplicate_listing_id,0.18688600356045604,0.32703208826804325,2,1954,0.0
24,has_city_range,0.08299443359426502,0.21200662083015026,2,1954,0.0
2,seller_type,0.05497937083013226,0.21522360180199973,2,1954,0.0
7,upholstery_material,0.0522406901233817,0.3725490196078431,6,1877,3.940634595701126
18,has_acc,0.043113536987746795,0.058703895261062844,2,1954,0.0
25,has_charging_time,0.042671323332682816,0.1030129672006102,2,1954,0.0
22,has_warranty_months,0.03572422518341163,0.04921302032989411,2,1954,0.0
23,has_battery_info,0.03486103592164761,0.07977665625374075,2,1954,0.0
10,has_full_service_history_clean,0.02797736511839805,0.04715887558795334,2,1916,1.9447287615148412
13,is_s_line,0.026800535525100613,0.0382686665469133,2,1954,0.0
11,is_sportback,0.024083348496539335,0.034755192878338226,2,1954,0.0
6,interior_color,0.0227488734553757,0.7,7,1877,3.940634595701126
17,has_hud,0.02109539916337077,0.04614552440639402,2,1954,0.0
1,model_number_v2,0.02045916612929789,0.11531600407747195,5,1785,8.6489252814739
0,variant,0.018766342889820157,0.03093027174269153,2,1942,0.6141248720573182
