,dtype,missing_count,missing_pct,unique_count,unique_pct
battery_charging_time_min,float64,1840,94.16581371545547,13,0.6653019447287616
warranty_months,float64,1477,75.5885363357216,25,1.2794268167860798
wltp_consumption_kwh_100km,float64,1178,60.28659160696008,50,2.5588536335721597
paint_type,object,280,14.329580348004095,2,0.1023541453428864
had_accident_clean,boolean,256,13.101330603889458,1,0.0511770726714432
model_number_v2,string,169,8.6489252814739,5,0.255885363357216
seat_count,float64,150,7.6765609007164795,2,0.1023541453428864
seller_rating_count,float64,137,7.011258955987717,180,9.211873080859775
seller_rating_stars,float64,137,7.011258955987717,5,0.255885363357216
previous_owner_count,float64,95,4.861821903787104,4,0.2047082906857728
interior_color,object,77,3.940634595701126,7,0.35823950870010235
upholstery_material,object,77,3.940634595701126,6,0.3070624360286591
electric_range_km,float64,73,3.735926305015353,197,10.08188331627431
price_per_range_km,float64,72,3.68474923234391,1655,84.69805527123849
door_count,float64,64,3.2753326509723646,2,0.1023541453428864
exterior_color,object,47,2.4053224155578303,6,0.3070624360286591
has_full_service_history_clean,boolean,38,1.9447287615148412,2,0.1023541453428864
body_type,object,37,1.8935516888433983,3,0.15353121801432956
warranty_exists_clean,boolean,37,1.8935516888433983,2,0.1023541453428864
mileage_per_month,float64,31,1.586489252814739,1628,83.31627430910952
vehicle_age_months,float64,31,1.586489252814739,58,2.968270214943705
available_now_clean,boolean,26,1.3306038894575232,1,0.0511770726714432
variant,object,12,0.6141248720573182,2,0.1023541453428864
mileage_km,float64,3,0.15353121801432956,1537,78.65916069600819
price_per_hp,float64,1,0.0511770726714432,1321,67.60491299897646
price_per_kw,float64,1,0.0511770726714432,1306,66.8372569089048
power_kw,float64,1,0.0511770726714432,10,0.511770726714432
power_hp,float64,1,0.0511770726714432,10,0.511770726714432
listing_id,string,0,0.0,1898,97.13408393039919
price_eur,int64,0,0.0,1089,55.73183213920164
city,object,0,0.0,371,18.986693961105424
image_count,int64,0,0.0,38,1.9447287615148412
seller_type,object,0,0.0,2,0.1023541453428864
is_conditional_price_clean,bool,0,0.0,2,0.1023541453428864
is_sportback,bool,0,0.0,2,0.1023541453428864
is_quattro,bool,0,0.0,2,0.1023541453428864
is_s_line,bool,0,0.0,2,0.1023541453428864
has_matrix,bool,0,0.0,2,0.1023541453428864
has_pano,bool,0,0.0,2,0.1023541453428864
has_ahk,bool,0,0.0,2,0.1023541453428864
has_hud,bool,0,0.0,2,0.1023541453428864
has_acc,bool,0,0.0,2,0.1023541453428864
has_camera,bool,0,0.0,2,0.1023541453428864
duplicate_listing_id,bool,0,0.0,2,0.1023541453428864
seller_has_rating,int64,0,0.0,2,0.1023541453428864
has_warranty_months,int64,0,0.0,2,0.1023541453428864
has_battery_info,int64,0,0.0,2,0.1023541453428864
has_city_range,int64,0,0.0,2,0.1023541453428864
has_charging_time,int64,0,0.0,2,0.1023541453428864
sold_within_14d,float64,0,0.0,2,0.1023541453428864
