,lifecycle_clean,price_model,sale_14d,survival,dataset_count
available_now,True,False,False,False,1
available_now_clean,True,True,True,True,4
battery_charging_time,True,False,False,False,1
battery_charging_time_min,True,True,True,True,4
battery_ownership,True,False,False,False,1
body_type,True,True,True,True,4
city,True,True,True,True,4
country_code,True,False,False,False,1
currency,True,False,False,False,1
damage_conditions,True,False,False,False,1
days_until_sold_or_removed,True,False,False,False,1
dealer_id,True,False,False,False,1
delivery_possible,True,False,False,False,1
delivery_possible_clean,True,False,False,False,1
door_count,True,True,True,True,4
duplicate_listing_id,True,True,True,True,4
duration_days,False,False,False,True,1
electric_range,True,False,False,False,1
electric_range_city,True,False,False,False,1
electric_range_city_km,True,False,False,False,1
electric_range_km,True,True,True,True,4
event_sold_or_removed,False,False,False,True,1
exterior_color,True,True,True,True,4
first_registration,True,False,False,False,1
first_registration_dt,True,False,False,False,1
first_seen_file,True,False,False,False,1
first_seen_timestamp,True,False,False,False,1
first_seen_timestamp_dt,True,False,False,False,1
fuel_or_powertrain,True,False,False,False,1
had_accident,True,False,False,False,1
had_accident_clean,True,True,True,True,4
has_360_image,True,False,False,False,1
has_360_image_clean,True,False,False,False,1
has_acc,True,True,True,True,4
has_ahk,True,True,True,True,4
has_battery_info,False,True,True,True,3
has_camera,True,True,True,True,4
has_charging_time,False,True,True,True,3
has_city_range,False,True,True,True,3
has_full_service_history,True,False,False,False,1
has_full_service_history_clean,True,True,True,True,4
has_hud,True,True,True,True,4
has_matrix,True,True,True,True,4
has_pano,True,True,True,True,4
has_warranty_months,False,True,True,True,3
image_count,True,True,True,True,4
interior_color,True,True,True,True,4
is_censored,True,False,False,False,1
is_conditional_price,True,False,False,False,1
is_conditional_price_clean,True,True,True,True,4
is_quattro,True,True,True,True,4
is_s_line,True,True,True,True,4
is_sportback,True,True,True,True,4
last_seen_file,True,False,False,False,1
last_seen_timestamp,True,False,False,False,1
last_seen_timestamp_dt,True,False,False,False,1
listing_id,True,True,True,True,4
listing_url,True,False,False,False,1
mileage,True,False,False,False,1
mileage_km,True,True,True,True,4
mileage_per_month,False,True,True,True,3
model_group,True,False,False,False,1
model_number,True,False,False,False,1
model_number_v2,False,True,True,True,3
observed_days,True,False,False,False,1
paint_type,True,True,True,True,4
power_hp,True,True,True,True,4
power_kw,True,True,True,True,4
previous_owner_count,True,True,True,True,4
price,True,False,False,False,1
price_eur,True,True,True,True,4
price_per_hp,False,True,True,True,3
price_per_kw,False,True,True,True,3
price_per_range_km,False,True,True,True,3
price_superscript,True,False,False,False,1
primary_image_url,True,False,False,False,1
raw_card_text,True,False,False,False,1
scrape_error_flag,True,False,False,False,1
seat_count,True,True,True,True,4
secondary_scrape_error,True,False,False,False,1
secondary_scrape_status,True,False,False,False,1
seller_has_rating,False,True,True,True,3
seller_imprint_url,True,False,False,False,1
seller_info_url,True,False,False,False,1
seller_location,True,False,False,False,1
seller_name,True,False,False,False,1
seller_phone,True,False,False,False,1
seller_rating_count,True,True,True,True,4
seller_rating_stars,True,True,True,True,4
seller_type,True,True,True,True,4
sold_flag,True,False,False,False,1
sold_in_file,True,False,False,False,1
sold_timestamp,True,False,False,False,1
sold_timestamp_dt,True,False,False,False,1
sold_within_14d,False,False,True,False,1
status,True,False,False,False,1
street,True,False,False,False,1
subtitle,True,False,False,False,1
suspicious_co2,True,False,False,False,1
suspicious_mileage,True,False,False,False,1
suspicious_price,True,False,False,False,1
suspicious_wltp,True,False,False,False,1
title,True,False,False,False,1
transmission,True,False,False,False,1
upholstery_material,True,True,True,True,4
variant,True,True,True,True,4
vat_deductible,True,False,False,False,1
vehicle_age_months,True,True,True,True,4
warranty_exists,True,False,False,False,1
warranty_exists_clean,True,True,True,True,4
warranty_months,True,True,True,True,4
warranty_text,True,False,False,False,1
wltp_co2_emissions,True,False,False,False,1
wltp_co2_g_km,True,False,False,False,1
wltp_consumption,True,False,False,False,1
wltp_consumption_kwh_100km,True,True,True,True,4
zip_code,True,False,False,False,1
