,dtype,missing_count,missing_pct,unique_count,unique_pct
battery_charging_time_min,float64,2376,94.4356120826709,13,0.5166931637519873
warranty_months,float64,1912,75.99364069952306,28,1.1128775834658187
wltp_consumption_kwh_100km,float64,1508,59.93640699523053,52,2.066772655007949
paint_type,object,354,14.069952305246423,2,0.0794912559618442
had_accident_clean,boolean,326,12.957074721780604,1,0.0397456279809221
model_number_v2,string,244,9.697933227344992,5,0.19872813990461047
seller_rating_count,float64,187,7.4324324324324325,183,7.273449920508744
seller_rating_stars,float64,187,7.4324324324324325,5,0.19872813990461047
seat_count,float64,175,6.955484896661367,2,0.0794912559618442
previous_owner_count,float64,138,5.484896661367249,4,0.1589825119236884
interior_color,object,87,3.457869634340222,7,0.27821939586645467
upholstery_material,object,83,3.2988871224165344,6,0.23847376788553257
available_now_clean,boolean,83,3.2988871224165344,1,0.0397456279809221
electric_range_km,float64,77,3.0604133545310015,205,8.147853736089031
price_per_range_km,float64,76,3.0206677265500796,2043,81.20031796502386
mileage_per_month,float64,71,2.821939586645469,1935,76.90779014308427
vehicle_age_months,float64,70,2.7821939586645468,59,2.3449920508744038
door_count,float64,67,2.662957074721781,2,0.0794912559618442
exterior_color,object,49,1.9475357710651828,7,0.27821939586645467
has_full_service_history_clean,boolean,38,1.5103338632750398,2,0.0794912559618442
body_type,object,37,1.4705882352941175,5,0.19872813990461047
warranty_exists_clean,boolean,37,1.4705882352941175,2,0.0794912559618442
variant,object,13,0.5166931637519873,2,0.0794912559618442
mileage_km,float64,3,0.11923688394276628,1819,72.2972972972973
price_per_hp,float64,3,0.11923688394276628,1562,62.08267090620032
price_per_kw,float64,3,0.11923688394276628,1542,61.287758346581874
power_kw,float64,3,0.11923688394276628,11,0.43720190779014306
power_hp,float64,3,0.11923688394276628,11,0.43720190779014306
listing_id,string,0,0.0,2388,94.91255961844197
price_eur,int64,0,0.0,1277,50.75516693163752
city,object,0,0.0,391,15.54054054054054
image_count,int64,0,0.0,39,1.550079491255962
duration_days,float64,0,0.0,22,0.8744038155802861
seller_type,object,0,0.0,2,0.0794912559618442
is_conditional_price_clean,bool,0,0.0,2,0.0794912559618442
is_sportback,bool,0,0.0,2,0.0794912559618442
is_quattro,bool,0,0.0,2,0.0794912559618442
is_s_line,bool,0,0.0,2,0.0794912559618442
has_matrix,bool,0,0.0,2,0.0794912559618442
has_pano,bool,0,0.0,2,0.0794912559618442
has_ahk,bool,0,0.0,2,0.0794912559618442
has_hud,bool,0,0.0,2,0.0794912559618442
has_acc,bool,0,0.0,2,0.0794912559618442
has_camera,bool,0,0.0,2,0.0794912559618442
duplicate_listing_id,bool,0,0.0,2,0.0794912559618442
seller_has_rating,int64,0,0.0,2,0.0794912559618442
has_warranty_months,int64,0,0.0,2,0.0794912559618442
has_battery_info,int64,0,0.0,2,0.0794912559618442
has_city_range,int64,0,0.0,2,0.0794912559618442
has_charging_time,int64,0,0.0,2,0.0794912559618442
event_sold_or_removed,int64,0,0.0,2,0.0794912559618442
