,feature,eta,target_spread,unique_count,non_null_rows,missing_pct
26,event_sold_or_removed,0.37379245934101946,13.0,2,2516,0.0
20,duplicate_listing_id,0.1525086453357783,4.0,2,2516,0.0
4,exterior_color,0.09575721838247357,12.5,7,2467,1.9475357710651828
2,seller_type,0.08070108240541381,12.0,2,2516,0.0
7,upholstery_material,0.06941486832124386,10.0,6,2433,3.2988871224165344
24,has_city_range,0.06112357101716766,5.0,2,2516,0.0
1,model_number_v2,0.0589950965945652,3.0,5,2272,9.697933227344992
18,has_acc,0.05552168579272478,3.0,2,2516,0.0
17,has_hud,0.05354333907943408,3.0,2,2516,0.0
3,body_type,0.05054836582772097,20.0,5,2479,1.4705882352941175
25,has_charging_time,0.049040611978062455,5.0,2,2516,0.0
11,is_sportback,0.048597002290488404,2.5,2,2516,0.0
9,warranty_exists_clean,0.04805932873975273,2.0,2,2479,1.4705882352941175
23,has_battery_info,0.04681486222949181,4.0,2,2516,0.0
0,variant,0.044933796519621635,2.5,2,2503,0.5166931637519873
